"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"REER","USMPU","D1","Y_to_X","NN_GC",0.7124,0.7811,1,"No","No"
"REER","USMPU","D2","X_to_Y","Linear_F",2.1087,0.1231,0.1847,"No","No"
"REER","USMPU","D2","Y_to_X","Linear_F",0.0304,0.9701,0.9769,"No","No"
"REER","USMPU","D2","X_to_Y","NN_GC",0.0536,1,1,"No","No"
"REER","USMPU","D2","Y_to_X","NN_GC",1.0043,0.4519,1,"No","No"
"REER","USMPU","D3","X_to_Y","Linear_F",1.1006,0.3339,0.4174,"No","No"
"REER","USMPU","D3","Y_to_X","Linear_F",3.4289,0.0336,0.0938,"Yes","Yes"
"REER","USMPU","D3","X_to_Y","NN_GC",0.0112,1,1,"No","No"
"REER","USMPU","D3","Y_to_X","NN_GC",0.1045,1,1,"No","No"
"REER","USMPU","D4","X_to_Y","Linear_F",2.2399,0.1081,0.1663,"No","No"
"REER","USMPU","D4","Y_to_X","Linear_F",0.1149,0.8915,0.9303,"No","No"
"REER","USMPU","D4","X_to_Y","NN_GC",0.0358,1,1,"No","No"
"REER","USMPU","D4","Y_to_X","NN_GC",0.0014,1,1,"No","No"
"REER","USMPU","D5","X_to_Y","Linear_F",1.942,0.1451,0.2048,"No","No"
"REER","USMPU","D5","Y_to_X","Linear_F",1.8034,0.1664,0.3273,"No","No"
"REER","USMPU","D5","X_to_Y","NN_GC",0.0896,1,1,"No","No"
"REER","USMPU","D5","Y_to_X","NN_GC",0.6104,0.8752,1,"No","No"
"REER","USMPU","D6","X_to_Y","Linear_F",11.2671,0,0,"Yes","Yes"
"REER","USMPU","D6","Y_to_X","Linear_F",6.4866,0.0017,0.012,"Yes","Yes"
"REER","USMPU","D6","X_to_Y","NN_GC",0.228,0.9993,1,"No","No"
"REER","USMPU","D6","Y_to_X","NN_GC",0.0347,1,1,"No","No"
"SIR","EPU","D1","X_to_Y","Linear_F",6.2552,0.0022,0.0064,"Yes","Yes"
"SIR","EPU","D1","Y_to_X","Linear_F",3.8745,0.0217,0.0704,"Yes","Yes"
"SIR","EPU","D1","X_to_Y","NN_GC",1.4162,0.1323,1,"No","No"
"SIR","EPU","D1","Y_to_X","NN_GC",-0.0304,1,1,"No","No"
"SIR","EPU","D2","X_to_Y","Linear_F",2.9131,0.0558,0.0985,"Yes","Yes"
"SIR","EPU","D2","Y_to_X","Linear_F",1.6475,0.1942,0.3585,"No","No"
"SIR","EPU","D2","X_to_Y","NN_GC",0.1973,0.9997,1,"No","No"
"SIR","EPU","D2","Y_to_X","NN_GC",0.0061,1,1,"No","No"
"SIR","EPU","D3","X_to_Y","Linear_F",3.7942,0.0235,0.0504,"Yes","Yes"
"SIR","EPU","D3","Y_to_X","Linear_F",1.7656,0.1727,0.3343,"No","No"
"SIR","EPU","D3","X_to_Y","NN_GC",0.1189,1,1,"No","No"
"SIR","EPU","D3","Y_to_X","NN_GC",0.0362,1,1,"No","No"
"SIR","EPU","D4","X_to_Y","Linear_F",14.3659,0,0,"Yes","Yes"
"SIR","EPU","D4","Y_to_X","Linear_F",0.4272,0.6527,0.7992,"No","No"
"SIR","EPU","D4","X_to_Y","NN_GC",0.0087,1,1,"No","No"
"SIR","EPU","D4","Y_to_X","NN_GC",0.1278,1,1,"No","No"
"SIR","EPU","D5","X_to_Y","Linear_F",4.9443,0.0077,0.0189,"Yes","Yes"
"SIR","EPU","D5","Y_to_X","Linear_F",10.9557,0,0,"Yes","Yes"
"SIR","EPU","D5","X_to_Y","NN_GC",0.0151,1,1,"No","No"
"SIR","EPU","D5","Y_to_X","NN_GC",0.068,1,1,"No","No"
"SIR","EPU","D6","X_to_Y","Linear_F",78.4563,0,0,"Yes","Yes"
"SIR","EPU","D6","Y_to_X","Linear_F",15.628,0,0,"Yes","Yes"
"SIR","EPU","D6","X_to_Y","NN_GC",-0.013,1,1,"No","No"
"SIR","EPU","D6","Y_to_X","NN_GC",0.0466,1,1,"No","No"
"SIR","GPR","D1","X_to_Y","Linear_F",0.2909,0.7478,0.8084,"No","No"
"SIR","GPR","D1","Y_to_X","Linear_F",1.1682,0.3122,0.4929,"No","No"
"SIR","GPR","D1","X_to_Y","NN_GC",1.2183,0.2523,1,"No","No"
"SIR","GPR","D1","Y_to_X","NN_GC",0.7273,0.7656,1,"No","No"
"SIR","GPR","D2","X_to_Y","Linear_F",0.8035,0.4486,0.5226,"No","No"
"SIR","GPR","D2","Y_to_X","Linear_F",2.5474,0.0799,0.1997,"Yes","No"
"SIR","GPR","D2","X_to_Y","NN_GC",0.1492,1,1,"No","No"
"SIR","GPR","D2","Y_to_X","NN_GC",1.6143,0.0639,0.9705,"Yes","No"
"SIR","GPR","D3","X_to_Y","Linear_F",6.15,0.0024,0.0067,"Yes","Yes"
"SIR","GPR","D3","Y_to_X","Linear_F",4.1034,0.0174,0.058,"Yes","Yes"
"SIR","GPR","D3","X_to_Y","NN_GC",0.0923,1,1,"No","No"
"SIR","GPR","D3","Y_to_X","NN_GC",1.6374,0.0584,0.9705,"Yes","No"
"SIR","GPR","D4","X_to_Y","Linear_F",0.4328,0.6491,0.7081,"No","No"
"SIR","GPR","D4","Y_to_X","Linear_F",34.8031,0,0,"Yes","Yes"
"SIR","GPR","D4","X_to_Y","NN_GC",0.007,1,1,"No","No"
"SIR","GPR","D4","Y_to_X","NN_GC",0.556,0.9147,1,"No","No"
"SIR","GPR","D5","X_to_Y","Linear_F",21.3316,0,0,"Yes","Yes"
"SIR","GPR","D5","Y_to_X","Linear_F",1.6022,0.2031,0.3693,"No","No"
"SIR","GPR","D5","X_to_Y","NN_GC",0.0066,1,1,"No","No"
"SIR","GPR","D5","Y_to_X","NN_GC",-0.0399,1,1,"No","No"
"SIR","GPR","D6","X_to_Y","Linear_F",60.0907,0,0,"Yes","Yes"
"SIR","GPR","D6","Y_to_X","Linear_F",4.7708,0.0091,0.0352,"Yes","Yes"
"SIR","GPR","D6","X_to_Y","NN_GC",-0.0373,1,1,"No","No"
"SIR","GPR","D6","Y_to_X","NN_GC",-0.0067,1,1,"No","No"
"SIR","USEMV","D1","X_to_Y","Linear_F",2.6159,0.0747,0.1262,"Yes","No"
"SIR","USEMV","D1","Y_to_X","Linear_F",8.1985,3e-04,0.0028,"Yes","Yes"
"SIR","USEMV","D1","X_to_Y","NN_GC",1.2105,0.2583,1,"No","No"
"SIR","USEMV","D1","Y_to_X","NN_GC",0.4114,0.9792,1,"No","No"
"SIR","USEMV","D2","X_to_Y","Linear_F",3.4328,0.0335,0.0681,"Yes","Yes"
"SIR","USEMV","D2","Y_to_X","Linear_F",0.0287,0.9718,0.9769,"No","No"
"SIR","USEMV","D2","X_to_Y","NN_GC",0.169,0.9999,1,"No","No"
"SIR","USEMV","D2","Y_to_X","NN_GC",0.1423,1,1,"No","No"
"SIR","USEMV","D3","X_to_Y","Linear_F",1.7527,0.175,0.2442,"No","No"
"SIR","USEMV","D3","Y_to_X","Linear_F",8.2233,3e-04,0.0028,"Yes","Yes"
"SIR","USEMV","D3","X_to_Y","NN_GC",0.1032,1,1,"No","No"
"SIR","USEMV","D3","Y_to_X","NN_GC",0.0626,1,1,"No","No"
"SIR","USEMV","D4","X_to_Y","Linear_F",30.064,0,0,"Yes","Yes"
"SIR","USEMV","D4","Y_to_X","Linear_F",1.0017,0.3684,0.5526,"No","No"
"SIR","USEMV","D4","X_to_Y","NN_GC",0.0204,1,1,"No","No"
"SIR","USEMV","D4","Y_to_X","NN_GC",-0.0019,1,1,"No","No"
"SIR","USEMV","D5","X_to_Y","Linear_F",2.7259,0.067,0.1165,"Yes","No"
"SIR","USEMV","D5","Y_to_X","Linear_F",6.357,0.002,0.012,"Yes","Yes"
"SIR","USEMV","D5","X_to_Y","NN_GC",-0.0315,1,1,"No","No"
"SIR","USEMV","D5","Y_to_X","NN_GC",0.051,1,1,"No","No"
"SIR","USEMV","D6","X_to_Y","Linear_F",1.5235,0.2195,0.296,"No","No"
"SIR","USEMV","D6","Y_to_X","Linear_F",17.339,0,0,"Yes","Yes"
"SIR","USEMV","D6","X_to_Y","NN_GC",0.0875,1,1,"No","No"
"SIR","USEMV","D6","Y_to_X","NN_GC",0.8277,0.6537,1,"No","No"
"SIR","USMPU","D1","X_to_Y","Linear_F",6.7787,0.0013,0.0042,"Yes","Yes"
"SIR","USMPU","D1","Y_to_X","Linear_F",5.8112,0.0033,0.0175,"Yes","Yes"
"SIR","USMPU","D1","X_to_Y","NN_GC",1.1488,0.3094,1,"No","No"
"SIR","USMPU","D1","Y_to_X","NN_GC",0.6389,0.8514,1,"No","No"
"SIR","USMPU","D2","X_to_Y","Linear_F",0.8812,0.4153,0.4934,"No","No"
"SIR","USMPU","D2","Y_to_X","Linear_F",2.0743,0.1273,0.2661,"No","No"
"SIR","USMPU","D2","X_to_Y","NN_GC",0.1345,1,1,"No","No"
"SIR","USMPU","D2","Y_to_X","NN_GC",1.0261,0.4286,1,"No","No"
"SIR","USMPU","D3","X_to_Y","Linear_F",5.6363,0.0039,0.01,"Yes","Yes"
"SIR","USMPU","D3","Y_to_X","Linear_F",1.1162,0.3288,0.5031,"No","No"
"SIR","USMPU","D3","X_to_Y","NN_GC",0.1013,1,1,"No","No"
"SIR","USMPU","D3","Y_to_X","NN_GC",0.1128,1,1,"No","No"
"SIR","USMPU","D4","X_to_Y","Linear_F",9.0096,2e-04,8e-04,"Yes","Yes"
"SIR","USMPU","D4","Y_to_X","Linear_F",2.8038,0.0621,0.1694,"Yes","No"
"SIR","USMPU","D4","X_to_Y","NN_GC",0.0121,1,1,"No","No"
"SIR","USMPU","D4","Y_to_X","NN_GC",-5e-04,1,1,"No","No"
"SIR","USMPU","D5","X_to_Y","Linear_F",1.3538,0.2597,0.3351,"No","No"
"SIR","USMPU","D5","Y_to_X","Linear_F",1.514,0.2216,0.3911,"No","No"
"SIR","USMPU","D5","X_to_Y","NN_GC",-0.053,1,1,"No","No"
"SIR","USMPU","D5","Y_to_X","NN_GC",0.3134,0.9953,1,"No","No"
"SIR","USMPU","D6","X_to_Y","Linear_F",176.342,0,0,"Yes","Yes"
"SIR","USMPU","D6","Y_to_X","Linear_F",0.5457,0.58,0.7484,"No","No"
"SIR","USMPU","D6","X_to_Y","NN_GC",0.0187,1,1,"No","No"
"SIR","USMPU","D6","Y_to_X","NN_GC",-0.0101,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","Linear_F",1.6356,0.1965,0.268,"No","No"
"Oil Price (WTI)","EPU","D1","Y_to_X","Linear_F",0.5679,0.5673,0.7481,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","NN_GC",0.0707,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","Y_to_X","NN_GC",-0.0303,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","X_to_Y","Linear_F",0.8975,0.4086,0.4903,"No","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","Linear_F",7.1712,9e-04,0.0072,"Yes","Yes"
"Oil Price (WTI)","EPU","D2","X_to_Y","NN_GC",0.1402,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","NN_GC",0.0024,1,1,"No","No"
"Oil Price (WTI)","EPU","D3","X_to_Y","Linear_F",8.0581,4e-04,0.0014,"Yes","Yes"
