"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"REER","EPU","D5","Y_to_X","NN_GC",0.0267,1,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",7.494,7e-04,0.003,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",8.46,3e-04,0.0026,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",-0.0244,1,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.1132,1,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",4.4976,0.0118,0.0345,"Yes","Yes"
"REER","GPR","D1","Y_to_X","Linear_F",2.9815,0.0521,0.14,"Yes","No"
"REER","GPR","D1","X_to_Y","NN_GC",0.324,0.9943,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",0.6367,0.8533,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",2.4406,0.0887,0.1663,"Yes","No"
"REER","GPR","D2","Y_to_X","Linear_F",1.9574,0.1429,0.3151,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",0.05,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",1.0742,0.3793,1,"No","No"
"REER","GPR","D3","X_to_Y","Linear_F",0.4083,0.6651,0.739,"No","No"
"REER","GPR","D3","Y_to_X","Linear_F",0.8443,0.4308,0.6498,"No","No"
"REER","GPR","D3","X_to_Y","NN_GC",0.2345,0.9992,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",0.4031,0.9813,1,"No","No"
"REER","GPR","D4","X_to_Y","Linear_F",1.1498,0.318,0.4148,"No","No"
"REER","GPR","D4","Y_to_X","Linear_F",9.9596,1e-04,0.0012,"Yes","Yes"
"REER","GPR","D4","X_to_Y","NN_GC",0.0586,1,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.0515,1,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",5.0197,0.0071,0.0243,"Yes","Yes"
"REER","GPR","D5","Y_to_X","Linear_F",0.9469,0.389,0.5985,"No","No"
"REER","GPR","D5","X_to_Y","NN_GC",0.045,1,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",0.4118,0.9791,1,"No","No"
"REER","GPR","D6","X_to_Y","Linear_F",1.194,0.3043,0.4013,"No","No"
"REER","GPR","D6","Y_to_X","Linear_F",1.5071,0.2231,0.4363,"No","No"
"REER","GPR","D6","X_to_Y","NN_GC",-0.0173,1,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.1481,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",1.9977,0.1373,0.214,"No","No"
"REER","USEMV","D1","Y_to_X","Linear_F",0.3066,0.7361,0.8333,"No","No"
"REER","USEMV","D1","X_to_Y","NN_GC",0.3346,0.9932,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.4081,0.9801,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",1.9373,0.1458,0.2187,"No","No"
"REER","USEMV","D2","Y_to_X","Linear_F",0.0389,0.9618,0.9781,"No","No"
"REER","USEMV","D2","X_to_Y","NN_GC",0.0854,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.1696,0.9999,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",2.1691,0.116,0.2015,"No","No"
"REER","USEMV","D3","Y_to_X","Linear_F",2.9735,0.0525,0.14,"Yes","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.2234,0.9994,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.1177,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",9.9487,1e-04,5e-04,"Yes","Yes"
"REER","USEMV","D4","Y_to_X","Linear_F",3.2856,0.0387,0.1161,"Yes","No"
"REER","USEMV","D4","X_to_Y","NN_GC",0.0602,1,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.0366,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",2.153,0.1178,0.2015,"No","No"
