"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"SIR","USEMV","D1","Y_to_X","Linear_F",0.4924,0.6116,0.8065,"No","No"
"SIR","USEMV","D1","X_to_Y","NN_GC",0.0704,1,1,"No","No"
"SIR","USEMV","D1","Y_to_X","NN_GC",0.4546,0.9658,1,"No","No"
"SIR","USEMV","D2","X_to_Y","Linear_F",0.609,0.5445,0.6107,"No","No"
"SIR","USEMV","D2","Y_to_X","Linear_F",0.5379,0.5845,0.7882,"No","No"
"SIR","USEMV","D2","X_to_Y","NN_GC",0.2158,0.9995,1,"No","No"
"SIR","USEMV","D2","Y_to_X","NN_GC",0.1756,0.9999,1,"No","No"
"SIR","USEMV","D3","X_to_Y","Linear_F",2.224,0.1098,0.2059,"No","No"
"SIR","USEMV","D3","Y_to_X","Linear_F",4.4185,0.0128,0.0614,"Yes","Yes"
"SIR","USEMV","D3","X_to_Y","NN_GC",0.3874,0.9848,1,"No","No"
"SIR","USEMV","D3","Y_to_X","NN_GC",0.0959,1,1,"No","No"
"SIR","USEMV","D4","X_to_Y","Linear_F",10.87,0,0,"Yes","Yes"
"SIR","USEMV","D4","Y_to_X","Linear_F",12.0183,0,0,"Yes","Yes"
"SIR","USEMV","D4","X_to_Y","NN_GC",0.192,0.9998,1,"No","No"
"SIR","USEMV","D4","Y_to_X","NN_GC",-0.0393,1,1,"No","No"
"SIR","USEMV","D5","X_to_Y","Linear_F",15.8562,0,0,"Yes","Yes"
"SIR","USEMV","D5","Y_to_X","Linear_F",0.2462,0.7819,0.8852,"No","No"
"SIR","USEMV","D5","X_to_Y","NN_GC",0.011,1,1,"No","No"
"SIR","USEMV","D5","Y_to_X","NN_GC",0.1896,0.9998,1,"No","No"
"SIR","USEMV","D6","X_to_Y","Linear_F",2.5712,0.078,0.1671,"Yes","No"
"SIR","USEMV","D6","Y_to_X","Linear_F",0.4372,0.6462,0.834,"No","No"
"SIR","USEMV","D6","X_to_Y","NN_GC",-0.1087,1,1,"No","No"
"SIR","USEMV","D6","Y_to_X","NN_GC",0.7716,0.7176,1,"No","No"
"SIR","USMPU","D1","X_to_Y","Linear_F",1.3347,0.2647,0.3693,"No","No"
"SIR","USMPU","D1","Y_to_X","Linear_F",0.1525,0.8586,0.9282,"No","No"
"SIR","USMPU","D1","X_to_Y","NN_GC",0.0602,1,1,"No","No"
"SIR","USMPU","D1","Y_to_X","NN_GC",0.7188,0.7746,1,"No","No"
"SIR","USMPU","D2","X_to_Y","Linear_F",1.1209,0.3273,0.4269,"No","No"
"SIR","USMPU","D2","Y_to_X","Linear_F",0.2318,0.7932,0.8896,"No","No"
"SIR","USMPU","D2","X_to_Y","NN_GC",0.1653,0.9999,1,"No","No"
"SIR","USMPU","D2","Y_to_X","NN_GC",1.2884,0.2029,1,"No","No"
"SIR","USMPU","D3","X_to_Y","Linear_F",1.8919,0.1525,0.2652,"No","No"
"SIR","USMPU","D3","Y_to_X","Linear_F",0.8365,0.4342,0.6575,"No","No"
"SIR","USMPU","D3","X_to_Y","NN_GC",0.2821,0.9975,1,"No","No"
"SIR","USMPU","D3","Y_to_X","NN_GC",0.1823,0.9998,1,"No","No"
"SIR","USMPU","D4","X_to_Y","Linear_F",11.4807,0,0,"Yes","Yes"
"SIR","USMPU","D4","Y_to_X","Linear_F",16.5442,0,0,"Yes","Yes"
"SIR","USMPU","D4","X_to_Y","NN_GC",0.1669,0.9999,1,"No","No"
"SIR","USMPU","D4","Y_to_X","NN_GC",-0.0104,1,1,"No","No"
"SIR","USMPU","D5","X_to_Y","Linear_F",5.838,0.0032,0.012,"Yes","Yes"
"SIR","USMPU","D5","Y_to_X","Linear_F",2.8288,0.0606,0.1653,"Yes","No"
"SIR","USMPU","D5","X_to_Y","NN_GC",0.0146,1,1,"No","No"
"SIR","USMPU","D5","Y_to_X","NN_GC",0.5932,0.8885,1,"No","No"
"SIR","USMPU","D6","X_to_Y","Linear_F",46.921,0,0,"Yes","Yes"
"SIR","USMPU","D6","Y_to_X","Linear_F",3.2886,0.0386,0.1304,"Yes","No"
"SIR","USMPU","D6","X_to_Y","NN_GC",-0.0854,1,1,"No","No"
"SIR","USMPU","D6","Y_to_X","NN_GC",0.0459,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","Linear_F",0.8848,0.4138,0.4986,"No","No"
