"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"REER","USMPU","D2","X_to_Y","NN_GC",0.1014,1,1,"No","No"
"REER","USMPU","D2","Y_to_X","NN_GC",1.0654,0.388,1,"No","No"
"REER","USMPU","D3","X_to_Y","Linear_F",0.8469,0.4297,0.5605,"No","No"
"REER","USMPU","D3","Y_to_X","Linear_F",0.4819,0.6181,0.7492,"No","No"
"REER","USMPU","D3","X_to_Y","NN_GC",0.1768,0.9999,1,"No","No"
"REER","USMPU","D3","Y_to_X","NN_GC",0.1347,1,1,"No","No"
"REER","USMPU","D4","X_to_Y","Linear_F",1.5517,0.2135,0.305,"No","No"
"REER","USMPU","D4","Y_to_X","Linear_F",0.7064,0.4942,0.6377,"No","No"
"REER","USMPU","D4","X_to_Y","NN_GC",-0.0448,1,1,"No","No"
"REER","USMPU","D4","Y_to_X","NN_GC",0.012,1,1,"No","No"
"REER","USMPU","D5","X_to_Y","Linear_F",0.2712,0.7626,0.8553,"No","No"
"REER","USMPU","D5","Y_to_X","Linear_F",4.489,0.0119,0.0571,"Yes","Yes"
"REER","USMPU","D5","X_to_Y","NN_GC",0.4599,0.9639,1,"No","No"
"REER","USMPU","D5","Y_to_X","NN_GC",0.3163,0.995,1,"No","No"
"REER","USMPU","D6","X_to_Y","Linear_F",105.9343,0,0,"Yes","Yes"
"REER","USMPU","D6","Y_to_X","Linear_F",1.7657,0.1727,0.3768,"No","No"
"REER","USMPU","D6","X_to_Y","NN_GC",0.002,1,1,"No","No"
"REER","USMPU","D6","Y_to_X","NN_GC",-0.027,1,1,"No","No"
"SIR","EPU","D1","X_to_Y","Linear_F",1.7611,0.1735,0.2635,"No","No"
"SIR","EPU","D1","Y_to_X","Linear_F",0.6794,0.5076,0.648,"No","No"
"SIR","EPU","D1","X_to_Y","NN_GC",0.0974,1,1,"No","No"
"SIR","EPU","D1","Y_to_X","NN_GC",-0.0076,1,1,"No","No"
"SIR","EPU","D2","X_to_Y","Linear_F",1.7,0.1843,0.2764,"No","No"
"SIR","EPU","D2","Y_to_X","Linear_F",0.7658,0.4658,0.6377,"No","No"
"SIR","EPU","D2","X_to_Y","NN_GC",0.1803,0.9999,1,"No","No"
"SIR","EPU","D2","Y_to_X","NN_GC",0.14,1,1,"No","No"
"SIR","EPU","D3","X_to_Y","Linear_F",0.2008,0.8182,0.8613,"No","No"
"SIR","EPU","D3","Y_to_X","Linear_F",2.8221,0.061,0.2067,"Yes","No"
"SIR","EPU","D3","X_to_Y","NN_GC",0.3916,0.9839,1,"No","No"
"SIR","EPU","D3","Y_to_X","NN_GC",0.0057,1,1,"No","No"
"SIR","EPU","D4","X_to_Y","Linear_F",6.8022,0.0013,0.0047,"Yes","Yes"
"SIR","EPU","D4","Y_to_X","Linear_F",0.0601,0.9417,0.9496,"No","No"
"SIR","EPU","D4","X_to_Y","NN_GC",0.102,1,1,"No","No"
"SIR","EPU","D4","Y_to_X","NN_GC",0.0303,1,1,"No","No"
"SIR","EPU","D5","X_to_Y","Linear_F",0.4574,0.6334,0.743,"No","No"
"SIR","EPU","D5","Y_to_X","Linear_F",0.3307,0.7187,0.8214,"No","No"
"SIR","EPU","D5","X_to_Y","NN_GC",0.1438,1,1,"No","No"
"SIR","EPU","D5","Y_to_X","NN_GC",0.2318,0.9992,1,"No","No"
"SIR","EPU","D6","X_to_Y","Linear_F",2.899,0.0565,0.1149,"Yes","No"
"SIR","EPU","D6","Y_to_X","Linear_F",0.2775,0.7578,0.8486,"No","No"
"SIR","EPU","D6","X_to_Y","NN_GC",-0.0835,1,1,"No","No"
"SIR","EPU","D6","Y_to_X","NN_GC",0.0715,1,1,"No","No"
"SIR","GPR","D1","X_to_Y","Linear_F",0.0125,0.9875,0.9936,"No","No"
"SIR","GPR","D1","Y_to_X","Linear_F",1.0953,0.3357,0.5691,"No","No"
"SIR","GPR","D1","X_to_Y","NN_GC",0.111,1,1,"No","No"
"SIR","GPR","D1","Y_to_X","NN_GC",-0.024,1,1,"No","No"
"SIR","GPR","D2","X_to_Y","Linear_F",0.2258,0.798,0.8599,"No","No"
"SIR","GPR","D2","Y_to_X","Linear_F",1.1341,0.323,0.5691,"No","No"
"SIR","GPR","D2","X_to_Y","NN_GC",0.1611,0.9999,1,"No","No"
"SIR","GPR","D2","Y_to_X","NN_GC",0.4252,0.9755,1,"No","No"
"SIR","GPR","D3","X_to_Y","Linear_F",2.2978,0.1021,0.1802,"No","No"
"SIR","GPR","D3","Y_to_X","Linear_F",2.1692,0.1159,0.2912,"No","No"
"SIR","GPR","D3","X_to_Y","NN_GC",0.543,0.9229,1,"No","No"
"SIR","GPR","D3","Y_to_X","NN_GC",0.9792,0.4795,1,"No","No"
"SIR","GPR","D4","X_to_Y","Linear_F",1.6561,0.1925,0.2817,"No","No"
"SIR","GPR","D4","Y_to_X","Linear_F",0.7856,0.4567,0.6377,"No","No"
"SIR","GPR","D4","X_to_Y","NN_GC",0.0842,1,1,"No","No"
"SIR","GPR","D4","Y_to_X","NN_GC",0.2127,0.9996,1,"No","No"
"SIR","GPR","D5","X_to_Y","Linear_F",5.523,0.0044,0.0143,"Yes","Yes"
"SIR","GPR","D5","Y_to_X","Linear_F",2.209,0.1115,0.2912,"No","No"
"SIR","GPR","D5","X_to_Y","NN_GC",0.133,1,1,"No","No"
"SIR","GPR","D5","Y_to_X","NN_GC",0.2243,0.9994,1,"No","No"
"SIR","GPR","D6","X_to_Y","Linear_F",5.9739,0.0028,0.0096,"Yes","Yes"
"SIR","GPR","D6","Y_to_X","Linear_F",0.2601,0.7711,0.8487,"No","No"
"SIR","GPR","D6","X_to_Y","NN_GC",-0.0595,1,1,"No","No"
"SIR","GPR","D6","Y_to_X","NN_GC",-0.0227,1,1,"No","No"
"SIR","USEMV","D1","X_to_Y","Linear_F",4.2278,0.0154,0.0451,"Yes","Yes"
"SIR","USEMV","D1","Y_to_X","Linear_F",1.3795,0.2532,0.4747,"No","No"
"SIR","USEMV","D1","X_to_Y","NN_GC",0.0803,1,1,"No","No"
"SIR","USEMV","D1","Y_to_X","NN_GC",0.4551,0.9657,1,"No","No"
"SIR","USEMV","D2","X_to_Y","Linear_F",0.4817,0.6182,0.7418,"No","No"
"SIR","USEMV","D2","Y_to_X","Linear_F",0.4568,0.6337,0.7604,"No","No"
"SIR","USEMV","D2","X_to_Y","NN_GC",0.2287,0.9993,1,"No","No"
"SIR","USEMV","D2","Y_to_X","NN_GC",0.1766,0.9999,1,"No","No"
"SIR","USEMV","D3","X_to_Y","Linear_F",1.9744,0.1405,0.2278,"No","No"
"SIR","USEMV","D3","Y_to_X","Linear_F",6.4969,0.0017,0.0171,"Yes","Yes"
"SIR","USEMV","D3","X_to_Y","NN_GC",0.6053,0.8792,1,"No","No"
"SIR","USEMV","D3","Y_to_X","NN_GC",0.0913,1,1,"No","No"
"SIR","USEMV","D4","X_to_Y","Linear_F",11.569,0,0,"Yes","Yes"
"SIR","USEMV","D4","Y_to_X","Linear_F",7.8561,5e-04,0.0086,"Yes","Yes"
"SIR","USEMV","D4","X_to_Y","NN_GC",0.1758,0.9999,1,"No","No"
