"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"SIR","USMPU","D3","X_to_Y","NN_GC",1.6267,0.0609,1,"Yes","No"
"SIR","USMPU","D3","Y_to_X","NN_GC",0.1018,1,1,"No","No"
"SIR","USMPU","D4","X_to_Y","Linear_F",1.2082,0.3001,0.4046,"No","No"
"SIR","USMPU","D4","Y_to_X","Linear_F",0.7373,0.4792,0.6687,"No","No"
"SIR","USMPU","D4","X_to_Y","NN_GC",0.4203,0.9768,1,"No","No"
"SIR","USMPU","D4","Y_to_X","NN_GC",0.0091,1,1,"No","No"
"SIR","USMPU","D5","X_to_Y","Linear_F",18.1426,0,0,"Yes","Yes"
"SIR","USMPU","D5","Y_to_X","Linear_F",2.4365,0.0891,0.2138,"Yes","No"
"SIR","USMPU","D5","X_to_Y","NN_GC",-0.1111,1,1,"No","No"
"SIR","USMPU","D5","Y_to_X","NN_GC",0.5081,0.9425,1,"No","No"
"SIR","USMPU","D6","X_to_Y","Linear_F",28.3927,0,0,"Yes","Yes"
"SIR","USMPU","D6","Y_to_X","Linear_F",11.055,0,0,"Yes","Yes"
"SIR","USMPU","D6","X_to_Y","NN_GC",-0.0988,1,1,"No","No"
"SIR","USMPU","D6","Y_to_X","NN_GC",0.0342,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","Linear_F",0.9205,0.3994,0.4856,"No","No"
"Oil Price (WTI)","EPU","D1","Y_to_X","Linear_F",0.1954,0.8226,0.8893,"No","No"
"Oil Price (WTI)","EPU","D1","X_to_Y","NN_GC",0.0846,1,1,"No","No"
"Oil Price (WTI)","EPU","D1","Y_to_X","NN_GC",0.1303,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","X_to_Y","Linear_F",0.6503,0.5226,0.5861,"No","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","Linear_F",0.4078,0.6654,0.8318,"No","No"
"Oil Price (WTI)","EPU","D2","X_to_Y","NN_GC",0.1429,1,1,"No","No"
"Oil Price (WTI)","EPU","D2","Y_to_X","NN_GC",0.0035,1,1,"No","No"
"Oil Price (WTI)","EPU","D3","X_to_Y","Linear_F",6.8002,0.0013,0.0065,"Yes","Yes"
"Oil Price (WTI)","EPU","D3","Y_to_X","Linear_F",2.9408,0.0543,0.1481,"Yes","No"
"Oil Price (WTI)","EPU","D3","X_to_Y","NN_GC",-0.0384,1,1,"No","No"
